Dénomination,Regroupement,Type,Libellé,Adresse,Code Postal,Ville,Pays,Longitude,Latitude,Rayon(m)
GMP BEAUMONTEL,,Client / Chantier,Client,RUE CROIX MAITRE RENAULT,27170,BEAUMONT LE ROGER,FRA,0.7719,49.0735,220
GM RIVIERE,,Client / Chantier,Client,15 RUE DUMONT D URVILLE,76000,ROUEN,FRA,1.0781,49.4457,220
GOBMATIC,,Client / Chantier,Client,RUE MARCONI,76150,MAROMME,FRA,1.0211,49.4865,220
GODEY DANIEL,,Client / Chantier,Client,LIEU DIT LE MESNIL,14240,LIVRY,FRA,0.0,0.0,220
GODFROY,,Client / Chantier,Client,25 RUE DE LA RESISTANCE,14400,BAYEUX,FRA,-0.691,49.2671,220
GODFROY,,Client / Chantier,Client,7 RUE DE L AVENIR,14650,CARPIQUET,FRA,-0.4294,49.1891,220
Godfroy - Entrepôts,,Client / Chantier,Client,34 AVENUE DE LA LIBERTE,14460,COLOMBELLES,FRA,-0.2974,49.199,220
GOIMOND Sébastien,,Domicile,Domicile,Allee BOMBYX,27180,SAINT SEBASTIEN DE MORSENT,FRA,0.0,0.0,220
GOLLAIN Gilles,,Domicile,Domicile,111 Route de Saint Maclou,76110,GONFREVILLE CAILLOT,FRA,0.4382,49.6518,220
GONCALVES Manuel,,Domicile,Domicile,16/25 RUE DU DUC DE CLERMONT-TONNERRE,27190,GLISOLLESFRANCE(À 0.05 KM),FRA,0.0,0.0,220
GONCALVES Manuel,,Domicile,Domicile,18 RUE JULES MICHELET,78280,GUYANCOURT,FRA,2.07,48.7678,220
GONCALVES Manuel,,Domicile,Domicile,1 RUE DU MOULIN,27190,GLISOLLES,FRA,1.02213,48.98419,-1
GONFREVILDIS,,Client / Chantier,Client,PORTE OCEANE - R N  15,76700,GONFREVILLE L ORCHER,FRA,0.2267,49.507,220
GOSSELIN,,Client / Chantier,Client,25  ROUTE DU BOURG,50760,SAINTE GENEVIEVE,FRA,-1.3125,49.662,220
GOSSELIN Denis,,Client / Chantier,Client,RUE DES ÉCOLIERS,50760,RÉVILLE,FRA,-1.2558,49.6188,220
GOSSELIN FRERES,,Client / Chantier,Client,Z I,14650,CARPIQUET,FRA,0.0,0.0,220
GOSSELIN  LAURENT,,Client / Chantier,Client,ROUTE DE LINVEPVILLE,50560,GOUVILLE SUR MER,FRA,-1.5722,49.0911,220
GOUET,,Client / Chantier,Client,36 RUE DE LA TRINITE,76260,EU,FRA,1.4184,50.0526,220
GOUET,,Client / Chantier,Client,1 Rue du Stade,76260,Saint-Rémy-Boscrocourt,FRA,1.38655,50.00912,-1
Gougeon,,Client / Chantier,Client,1 Rue du Val Asselin,27600,Saint-Pierre-la-Garenne,FRA,1.3793,49.1499,150
GOUGEON,,Client / Chantier,Client,1  RUE VAL ASSELIN,27600,SAINT PIERRE LA GARENNE,FRA,0.0,0.0,220
GOUJON PASCAL,,Client / Chantier,Client,LE FEUGRAIS,14400,NONANT,FRA,0.0,0.0,220
GOUPILLIERES SEBASTIEN,,Client / Chantier,Client,30  RUE DU BEL-AIR,14450,GRANDCAMP MAISY,FRA,0.0,0.0,220
GOURDAIN Mickael,,Domicile,Domicile,11 RUE DU 74 EME REGIMENT D INFANTERIE,76200,DIEPPE,FRA,1.0621,49.9121,220
GOUTIERE,,Client / Chantier,Client,RUE DU MOULIN,50800,SAINTE CECILE,FRA,-1.2016,48.8322,220
GOUTIERE,,Client / Chantier,Client,PERSARD,50370,BRECEY,FRA,-1.1793,48.7465,220
GOUVILLE FROID,,Client / Chantier,Client,64 RUE GUILLAUME MICHEL,50180,AGNEAUX,FRA,-1.1035,49.1232,220
GOUVILLE J M,,Client / Chantier,Client,CHEMIN DES CARRIERES,14760,BRETTEVILLE SUR ODON,FRA,-0.4189,49.1755,220
GPLM,,Client / Chantier,Client,LES PERRONS,50760,ANNEVILLE EN SAIRE,FRA,-1.2838,49.647,220
GPS - Global Palets,,Client / Chantier,Client,VC1,76170,La Fresnaye,FRA,0.0,0.0,220
GPS - Global Palets,,Client / Chantier,Client,,,,FRA,0.5312,49.5165,220
GRAIN D OR GEL ROUEN,,Client / Chantier,Client,,76650,Petit-Couronne,FRA,1.03033,49.38281,-1
GRAINETERIE DU NEUBOURG,,Client / Chantier,Client,ROUTE DE BEAUMONT,27110,LE NEUBOURG,FRA,0.8961,49.1443,220
GRAINETERIE ODIEVRE,,Client / Chantier,Client,7 RUE ALBERT GIBET,76430,SAINT ROMAIN DE COLBOSC,FRA,0.0,0.0,220
GRANDE PAROISSE ATO,,Client / Chantier,Client,BOULEVARD D AMBOURNAY,76350,OISSEL,FRA,0.0,0.0,220
GRANDI,,Client / Chantier,Client,ZI LA GDE CAMPAGNE NORD,76330,N D  DE GRAVENCHON,FRA,0.0,0.0,220
Grandsire,,Client / Chantier,Client,"28, RUE DU GÉNÉRAL LECLERC",80130,FRIVILLE-ESCARBOTIN,FRA,1.5562,50.09147,-1
GRANIMARBRE,,Client / Chantier,Client,ROUTE DE SEPT FRERES,14380,SAINT SEVER CALVADOS,FRA,0.0,0.0,220
GRANVIDIS -CENTRE LECLERC,,Client / Chantier,Client,ROUTE DE VILLEDIEU,50400,GRANVILLE,FRA,-1.5489,48.8409,220
GRANVIL BETON-GEDIMAT,,Client / Chantier,Client,LE POIRIER - SAINT PAIR/MER,50406,GRANVILLE,FRA,0.0,0.0,220
GRANVILMER,,Client / Chantier,Client,ROUTE DE L AERODROME,50290,BREVILLE SUR MER,FRA,-1.5639,48.8769,220
GRANVILMER,,Client / Chantier,Client,,14520,PORT EN BESSIN HUPPAIN,FRA,-0.7734,49.3384,220
GRAS PIERRE,,Client / Chantier,Client,2  BIS ROUTE DE VERSON,14740,SAINT MANVIEU NORREY,FRA,0.0,0.0,220
GRASSIN DELYLE,,Client / Chantier,Client,ROUTE DE MONTVILLE,76770,MALAUNAY,FRA,1.0517,49.5305,220
GREE MENUISERIE,,Client / Chantier,Client,IMPASSE CLAUDE FRANCOIS,61200,SARCEAUX,FRA,-0.039,48.7283,220
GREIF,,Client / Chantier,Client,Chemin du Gord,76120,Le Grand-Quevilly,FRA,1.03435,49.4271,-1
GREIF CHEZ TOTAL GD QUEVILLY,,Client / Chantier,Client,64 Rue de Stalingrad,76140,Le Petit-Quevilly,FRA,1.05643,49.43394,-1
GREMONT,,Client / Chantier,Client,23 RUE SADI CARNOT,76240,LE MESNIL ESNARD,FRA,1.1401,49.4138,220
GRENTE CARRIERES,,Client / Chantier,Client,LE MONT CANEL,50810,PRECORBIN,FRA,0.0,0.0,220
GRIGNEUSEVILLE TRANSPORTS,,Client / Chantier,Client,RESIDENCE LE VILLAGE,76850,GRIGNEUSEVILLE,FRA,0.0,0.0,220
GRM,,Client / Chantier,Client,RUE JEAN PERRIN,14440,DOUVRES LA DELIVRANDE,FRA,-0.3763,49.2869,220
GROUPE GIFA,,Client / Chantier,Client,BOULEVARD DE L EXPANSION,61200,ARGENTAN,FRA,-0.0287,48.7312,220
GROUPE LEADER,,Client / Chantier,Client,68 BOULEVARD JULES DURAND,76600,LE HAVRE,FRA,0.155,49.4894,220
GROUPE PLG NORMANDIE,,Client / Chantier,Client,RUE LAVOISIER,27500,PONT AUDEMER,FRA,0.5381,49.3456,220
GROUPE SEB MOULINEX,,Client / Chantier,Client,28 AVENUE JEAN MANTELET,61000,ALENCON,FRA,0.103,48.4174,220
GROUPE TESTS,,Client / Chantier,Client,CHEMIN DE LA SABLONNIERE,27600,FONTAINE BELLENGER,FRA,0.0,0.0,220
GRUCH MAGASIN NOZ,,Client / Chantier,Client,ROUTE DE LILLEBONNE,76210,GRUCHET LE VALASSE,FRA,0.0,0.0,220
GSA COM,,Client / Chantier,Client,2 RUE DE VERDUN,76410,SAINT AUBIN LES ELBEUF,FRA,1.0118,49.3028,220
GSM,,Client / Chantier,Client,ROUTE DE SAINT-PIERRE-SUR-DIVES,14370,VIMONT,FRA,-0.1945,49.1192,220
GT GENERAL TRAILERS,,Client / Chantier,Client,BASSE NORMANDIE,14730,GIBERVILLE,FRA,0.0,0.0,220
GUEDON PEPIN,,Client / Chantier,Client,7 ALLEE DES SOUPIRS,27260,EPAIGNES,FRA,0.0,0.0,220
GUERANDIERE,,Client / Chantier,Client,ESPACE BEBE 9,14120,MONDEVILLE,FRA,-0.2977,49.1602,220
GUERIN,,Client / Chantier,Client,ZI DE LA DETOURBE,50890,CONDE SUR VIRE,FRA,-0.9931,49.0444,220
GUILBERT,,Client / Chantier,Client,6 RUE DES LONGCHAMPS,27490,AUTHEUIL AUTHOUILLET,FRA,0.0,0.0,220
GUILLEMARRE,,Client / Chantier,Client,3 4 6 RUE DU VIEUX BOURG,76390,AUMALE,FRA,0.0,0.0,220
GUILLEMET DEMENAGEURS,,Client / Chantier,Client,"30, RUE HENRI BRUNET",14280,AUTHIE,FRA,-0.4339,49.2016,220
GUILLOUX MATERIAUX,,Client / Chantier,Client,LA BUTTE ES GROS,50530,MONTVIRON,FRA,-1.4255,48.7287,220
GUILLOUX MATERIAUX,,Client / Chantier,Client,CHEMIN DES VALLEES,50800,VILLEDIEU LES POELES,FRA,-1.2166,48.845,220
Guilloux Matériaux,,Client / Chantier,Client,ÉCHANGEUR DE LA JALOUSIE,14540,SAINT-AIGNAN-DE-CRAMESNIL,FRA,-0.2975,49.0748,220
GUISNEL THB,,Client / Chantier,Client,RUE DE L AVENIR,50500,SAINT HILAIRE PETITVILLE,FRA,-1.2174,49.3022,220
GUNSON,,Client / Chantier,Client,GRANDE RUE,27330,LA BARRE EN OUCHE,FRA,0.0,0.0,220
GUTIERREZ INFORMATIQUE,,Client / Chantier,Client,39 BOULEVARD SAINTE ANNE,14100,LISIEUX,FRA,0.2242,49.1426,220
GUYADER,,Client / Chantier,Client,RUE DES ARTAIGNES,27600,GAILLON,FRA,1.3521,49.16474,-1
GUY DEGRENNE INDUSTRIE,,Client / Chantier,Client,ROUTE D AUNAY SUR ODON,14501,VIRE,FRA,0.0,0.0,220
GUYOMARCH NORMANDIE DEPOT,,Client / Chantier,Client,680  ROUTE DU MONT AUX ROUX,76640,CLEVILLE,FRA,0.0,0.0,220
GVG SPORT INDUSTRIE,,Client / Chantier,Client,Z I  -,76580,LE TRAIT,FRA,0.0,0.0,220
Gwenael Destigny,,Domicile,Domicile,10 Rue du Parc,14680,Bretteville-sur-Laize,FRA,-0.3136,49.0434,220
HAAS HORTICULTURE,,Client / Chantier,Client,RUE ERNEST NEUVILLE,27110,LE NEUBOURG,FRA,0.9084,49.1489,220
HACH,,Client / Chantier,Client,RUE DE BURES,14670,TROARN,FRA,-0.187,49.1868,220
HAG TECH,,Client / Chantier,Client,ZA FOSSE YVON,50440,BEAUMONT HAGUE,FRA,0.0,0.0,220
Halley Transport,,Client / Chantier,Client,30 Impasse des Millepertuis,76240,Belbeuf,FRA,1.1538,49.3989,220
HALL TRUCKS,,Client / Chantier,Client,CHEMIN DE LA CROIX VAUTIER,14980,ROTS,FRA,-0.4663,49.2056,220
HAMEL Philippe,,Domicile,Domicile,"5, Route de Percouville",14320,CLINCHAMPS SUR ORNE,FRA,-0.4068,49.0838,220
HAMEL Thierry,,Domicile,Domicile,La Bruyère des Assemblées,14130,LE TORQUESNE,FRA,0.1809,49.2198,220
HANDIPRINT,,Client / Chantier,Client,BOULEVARD DE LA BRETONNIÈRE,50100,CHERBOURG,FRA,-1.6378,49.6509,220
HAUBERT Vincent,,Domicile,Domicile,20 ROUTE DE PACY,27490,FONTAINE HEUDEBOURG,FRA,0.0,0.0,220
HAUCHARD,,Client / Chantier,Client,1  RUE DU VAL EGLANTIER,76170,SAINT NICOLAS DE LA TAILLE,FRA,0.4697,49.5076,220
HAVARD,,Client / Chantier,Client,RUE LAZARE CARNOT,61000,ALENCON,FRA,0.0932,48.4463,220
HAVARD,,Client / Chantier,Client,D923,28400,NOGENT-LE-ROTROU,FRA,0.8045,48.3086,220
HAVARD,,Client / Chantier,Client,ROUTE D ECOUVES,61250,DAMIGNY,FRA,0.0855,48.4513,220
HAY DISTRIBUTION,,Bureau / Dépôt,Bureau,9 Rue Roland Vico,14280,Saint-Germain-la-Blanche-Herbe,FRA,-0.4098,49.189,220
HEBERT Clément,,Domicile,Domicile,"45, RUE JULES VALLÈS",76700,GAINNEVILLE,FRA,0.272,49.5138,220
HEBERT MICHAEL,,Client / Chantier,Client,27 ROUTE DE BOISSAY,76750,SAINT GERMAIN DES ESSOURTS,FRA,0.0,0.0,220
HEBERT PATRICE,,Client / Chantier,Client,RN 13,27170,ECARDENVILLE LA CAMPAGNE,FRA,0.0,0.0,220
HECTOR THIERRY,,Client / Chantier,Client,LES VERGERS HOULBEC,27120,HOULBEC COCHEREL,FRA,0.0,0.0,220
H ELEC,,Client / Chantier,Client,21 RUE DES CHAMPS,76190,YVETOT,FRA,0.7535,49.6239,220
Héliodis,,Client / Chantier,Client,,27100,Val-de-Reuil,FRA,1.182,49.25201,-1
HELIOS,,Client / Chantier,Client,43  ROUTE DE LA ZONE,50430,LESSAY,FRA,-1.5017,49.2094,220
HELIO SERVICE,,Client / Chantier,Client,16 RUE ALFRED KASTLER,76130,MONT SAINT AIGNAN,FRA,1.0962,49.4733,220
HELIOS PERIERS,,Client / Chantier,Client,RUE DU CARENTAN,50190,PERIERS,FRA,-1.4067,49.1888,220
HENKEL FRANCE,,Client / Chantier,Client,RUE CHARLES GROS,27400,LOUVIERS,FRA,0.0,0.0,220
HENRI BAL,,Client / Chantier,Client,RUE DE DOMFRONT,61100,FLERS,FRA,-0.5745,48.736,220
HENRIET André,,Domicile,Domicile,"2472, Route du Houlme",76570,FRESQUIENNES,FRA,0.0,0.0,220
henry recyclage,,Client / Chantier,Client,,76410,Saint-Aubin-lès-Elbeuf,FRA,1.01207,49.31629,-1
HEPPNER,,Client / Chantier,Client,RUE MICHEL POULMARCH,76800,SAINT ETIENNE DU ROUVRAY,FRA,1.1153,49.3814,220
HERCULES,,Client / Chantier,Client,ZI,27460,ALIZAY,FRA,0.0,0.0,220
HERLITZ,,Client / Chantier,Client,6 RUE SAINT LOUIS,76410,SAINT AUBIN LES ELBEUF,FRA,1.0129,49.2981,220
hermes maroquinerie,,Client / Chantier,Client,Rue Sainte-Marguerite,27100,Val-de-Reuil,FRA,1.1928,49.2531,110
Hermes maroquinerie,,Client / Chantier,Client,,27100,Val-de-Reuil,FRA,1.19179,49.25305,0
HESNAULT,,Client / Chantier,Client,ROUTE DES ALIZES,76430,SANDOUVILLE,FRA,0.0,0.0,220
HESNAULT,,Client / Chantier,Client,Grand Port Mar. du Havre 5000-6000,76430,Sandouville,FRA,0.3035,49.4742,220
HEUDE Matthieu,,Domicile,Domicile,,76380,DIEPPEDALE CROISSET,FRA,0.0,0.0,220
HEUDE MATTHIEU,,Domicile,Domicile,6 Quai de Danemark,76380,Canteleu,FRA,1.0191,49.4226,220
HEURTAUX,,Client / Chantier,Client,2 RUE DE VERDUN,76410,SAINT AUBIN LES ELBEUF,FRA,1.0118,49.3028,220
HEXION SPECIALTY,,Client / Chantier,Client,14 AVENUE DU MARECHAL FOCH,76210,BOLBEC,FRA,0.4724,49.5671,220
HEXION SPECIALTY,,Client / Chantier,Client,IMPASSE HENRI BARBET,76250,DEVILLE-LES-ROUEN,FRA,1.05003,49.4605,-1
HIPPOCAMPE CAEN,,Client / Chantier,Client,12 RUE DES VAUX DE LA FOLIE,14000,CAEN,FRA,-0.3692,49.2045,220
HIPPODROME DE CLAIRE FONTAINE,,Client / Chantier,Client,HIPODROME,14800,DEAUVILLE,FRA,0.0,0.0,220
HIRON Hervé,,Domicile,Domicile,RUE DE LA VOIX MALINE,76770,HOUPPEVILLE,FRA,1.0902,49.5121,220
HISPANO SUIZA,,Client / Chantier,Client,ROUTE DU PONT VIII,76700,GONFREVILLE L ORCHER,FRA,0.2152,49.491,220
HOECHST CHIMIE,,Client / Chantier,Client,CHEMIN DEPARTEMENTAL 173,76170,LILLEBONNE,FRA,0.0,0.0,220
HOLDYS - HAFA LUBRIFIANTS,,Client / Chantier,Client,RUE GAUTHIER D YVETOT,76190,YVETOT,FRA,0.0,0.0,220
HOOGTERP FRERES,,Client / Chantier,Client,HAMEAU DE COQUEREL,27110,CROSVILLE LA VIEILLE,FRA,0.0,0.0,220
HOPITAL,,Client / Chantier,Client,"9, RUE DE BROSSARD",14130,PONT-L'ÉVÊQUE,FRA,0.183,49.2841,220
HOPITAL DE SAINT VALERY,,Client / Chantier,Client,,76460,SAINT VALERY EN CAUX,FRA,0.7069,49.8593,220
Hopital de St James,,Client / Chantier,Client,41 RUE DU MONT,50240,SAINT-JAMES,FRA,-1.3288,48.526,220
HOPITAL DE VERNEUIL,,Client / Chantier,Client,81  RUE DU MOULIN DES,27130,VERNEUIL SUR AVRE,FRA,0.0,0.0,220
HOPITAL LOUIS PASTEUR,,Client / Chantier,Client,46 RUE DU VAL DE SAIRE,50100,CHERBOURG OCTEVILLE,FRA,-1.613,49.6386,220
HORN ET BAUER HOLDING,,Client / Chantier,Client,VOIE DU FUTUR,27100,VAL DE REUIL,FRA,1.1816,49.2541,220
HORTI SERVICE - JARDILAND,,Client / Chantier,Client,RUE DES PORTES DE FRANQUEVILLE,76520,FRANQUEVILLE SAINT PIERRE,FRA,1.1588,49.4043,220
Hospital,,Client / Chantier,Client,165 Rue Pasteur,27310,Bourg-Achard,FRA,0.8148,49.349,220
HOSPITALIER DU BESSIN,,Client / Chantier,Client,,14400,BAYEUX,FRA,-0.7023,49.2771,220
HOTEL DU DEPARTEMENT,,Client / Chantier,Client,COURS CLEMENCEAU,76000,ROUEN,FRA,1.0893,49.4345,220
Hotel REstaurant Auberge du pont,,Restaurant / Hôtel,Restaurant,Rue Gilles Nicolle,27700,Les Andelys,FRA,1.40149,49.23666,0
HOUEL,,Client / Chantier,Client,"18, BOULEVARD DE L'EUROPE",14540,BOURGUÉBUS,FRA,-0.3097,49.1194,220
HOUELLE Jacques,,Domicile,Domicile,ROUTE DE NEUFCHATEL,76230,QUINCAMPOIX,FRA,1.1649,49.5104,220
HOUGHTON,,Client / Chantier,Client,"40, RUE PIERRE CORNEILLE",76120,LE GRAND-QUEVILLY,FRA,1.02969,49.41718,-1
HOWMET,,Client / Chantier,Client,ZAC DES GRANDS PRES,14160,DIVES SUR MER,FRA,-0.0979,49.2773,220
HOYPIERRES Romain,,Domicile,Domicile,6 PARC DE LA DURDENT,76130,MONT-SAINT-AIGNAN,FRA,1.0714,49.4638,220
HTC FRANCE,,Client / Chantier,Client,RUE NIEPCE,14120,MONDEVILLE,FRA,-0.298,49.1537,220
HTS (HAVRE TRANSPORT SCE),,Client / Chantier,Client,ROUTE DE LA POINTE DU HOC,76600,LE HAVRE,FRA,0.1844,49.4804,220
HUBERT,,Client / Chantier,Client,34  RUE SAINTE HONORINE,27910,LES HOGUES,FRA,0.0,0.0,220
HUBERT,,Client / Chantier,Client,D96,50160,GUILBERVILLE,FRA,-0.951,48.9856,220
HUBERT JEAN,,Client / Chantier,Client,LA LANDE PATRY,61100,FLERS,FRA,0.0,0.0,220
HUBERT MENUISERIE,,Bureau / Dépôt,Bureau,4 Rue des Bourreliers,14123,Ifs,FRA,-0.3426,49.139,220
HUBERT PARQUETS,,Client / Chantier,Client,68 RUE DE FALAISE,14000,CAEN,FRA,-0.354,49.1714,220
HUBERT PASCAL,,Client / Chantier,Client,60 RUE DU GAL DE GAULLE,27850,MENESQUEVILLE,FRA,0.0,0.0,220
HUCHE LEROY,,Client / Chantier,Client,RUE CHAMBELLAN,27110,LE NEUBOURG,FRA,0.9093,49.1511,220
HUITRIERE DU MARAIS,,Client / Chantier,Client,ROUTE DE LA MER,50560,BLAINVILLE SUR MER,FRA,-1.5908,49.0672,220
HUREL FROID,,Client / Chantier,Client,CHAUSSEE HERMANN DU PASQUIER,76600,LE HAVRE,FRA,0.136,49.4783,220
Hydrau Havre,,Fournisseur,Fournisseur,D982,76700,ROGERVILLE,FRA,0.26877,49.4963,-1
HYDRAUNORM,,Fournisseur,Fournisseur,,76800,Saint-Étienne-du-Rouvray,FRA,1.11352,49.38991,-1
HYDRECO,,Bureau / Dépôt,Bureau,10 Chemin du Clos Guillaume,14400,Vaucelles,FRA,-0.7307,49.2694,220
HYDRO D,,Client / Chantier,Client,RUE DES CHAMPS,27950,SAINT MARCEL,FRA,1.456,49.1001,220
HYDRONIC,,Client / Chantier,Client,CHEMIN DE LA GRIPPE,61400,MORTAGNE AU PERCHE,FRA,0.5535,48.527,220
ICI PAINTS DECO FRANCE,,Client / Chantier,Client,AVENUE FRANKLIN ROOSEVELT,76120,LE GRAND QUEVILLY,FRA,1.0244,49.4102,220
ICP INTERFACE,,Client / Chantier,Client,4 Route de Boisgeloup,27140,Gisors,FRA,1.7809,49.2683,220
ICP INTERFACE COSMETIQUES,,Client / Chantier,Client,ROUTE DU BOISGELOUP,27140,GISORS,FRA,1.7804,49.2658,220
IDEMIA,,Client / Chantier,Client,,76800,Saint-Étienne-du-Rouvray,FRA,1.11188,49.37247,2
IDEMIA,,Client / Chantier,Client,Boulevard Lénine,76800,Saint-Étienne-du-Rouvray,FRA,1.1128,49.3735,100
IDEMIA,,Client / Chantier,Client,,76800,Saint-Étienne-du-Rouvray,FRA,1.11114,49.37419,0
ID MARKET,,Bureau / Dépôt,Bureau,Impasse des Aucrais,14540,Soliers,FRA,-0.302,49.1359,220
IFC,,Client / Chantier,Client,RUE JOLIOT CURIE,76650,PETIT COURONNE,FRA,1.0367,49.3808,220
IFP SANTE,,Client / Chantier,Client,AVENUE DE DUBMA,14200,HEROUVILLE SAINT CLAIR,FRA,0.0,0.0,220
IFRACHIMIE,,Client / Chantier,Client,RUE GRAVETEL,76320,SAINT PIERRE LES ELBEUF,FRA,1.0428,49.2675,220
IFTIM,,Client / Chantier,Client,RUE VINCENT VAN GOGH,76290,MONTIVILLIERS,FRA,0.1685,49.5534,220
IFTIM ENTREPRISES,,Client / Chantier,Client,125 RUE DE PARIS,76800,SAINT ETIENNE DU ROUVRAY,FRA,1.1045,49.3907,220
IFTIM ENTREPRISES,,Client / Chantier,Client,RUE PROFESSEUR JOSEPH ROUSSELOT,14000,CAEN,FRA,-0.3606,49.2077,220
IFTIM ENTREPRISES,,Client / Chantier,Client,RUE DE L ARTISANAT,14500,VIRE,FRA,-0.871,48.853,220
IGOL NORMANDIE,,Client / Chantier,Client,28 RUE DOCTEUR TILLAUX,14000,CAEN,FRA,-0.3859,49.1816,220
IKEA,,Client / Chantier,Client,RUE DU FIER À BRAS,14123,FLEURY-SUR-ORNE,FRA,-0.3637,49.1464,220
IKEA TOURVILLES,,Client / Chantier,Client,D144,76410,Tourville-la-Rivière,FRA,1.09663,49.33242,-1
IMMOTIQUE DISTRIBUTTION CITIS,,Client / Chantier,Client,6 RUE ATALANTE,14200,HEROUVILLE SAINT CLAIR,FRA,-0.3502,49.2151,220
IMPAC,,Client / Chantier,Client,12 RUE DES METIERS,14123,CORMELLES LE ROYAL,FRA,-0.3377,49.1613,220
IMPORT MAREE,,Client / Chantier,Client,Z I  DU MARTRAY,14730,GIBERVILLE,FRA,0.0,0.0,220
IMPRIMALOG,,Client / Chantier,Client,8 RUE DE VERDUN,76410,SAINT AUBIN LES ELBEUF,FRA,1.0104,49.3041,220
IMPRIMERIE 27 OFFSET,,Client / Chantier,Client,RUE MARCEL PAGNOL,27930,GRAVIGNY,FRA,1.1578,49.0441,220
IMPRIMERIE BANSE,,Client / Chantier,Client,42 RUE ALEXANDRE LEGROS,76400,FECAMP,FRA,0.3762,49.7568,220
IMPRIMERIE BELANDRE J C,,Client / Chantier,Client,RUE DU MOULIN A POUDRE,76150,MAROMME,FRA,1.0465,49.4848,220
IMPRIMERIE BERNAYENNE,,Client / Chantier,Client,RUE DE LA SEMAILLE,27300,BERNAY,FRA,0.5763,49.068,220
IMPRIMERIE CORBRION,,Client / Chantier,Client,ZI LA DETOURBE,50890,CONDE SUR VIRE,FRA,0.0,0.0,220
IMPRIMERIE CORLET,,Client / Chantier,Client,ZI - ROUTE DE VIRE,14110,CONDE SUR NOIREAU,FRA,0.0,0.0,220
IMPRIMERIE DE BAYEUX,,Client / Chantier,Client,RUE DE LA RESISTANCE,14400,BAYEUX,FRA,-0.6914,49.2671,220
IMPRIMERIE GABEL,,Client / Chantier,Client,RUE MARCONI,76150,MAROMME,FRA,1.0211,49.4865,220
IMPRIMERIE IPS,,Client / Chantier,Client,RUE D ORBEC,27300,BERNAY,FRA,0.5757,49.0834,220
IMPRIMERIE IROPA,,Client / Chantier,Client,2045X,76040,ROUEN,FRA,0.0,0.0,220
imprimerie iropa st etienne,,Client / Chantier,Client,Rue de la Vente Olivier,76800,Saint-Étienne-du-Rouvray,FRA,1.08972,49.37208,-1
Imprimerie IRS BOSC ROGER,,Client / Chantier,Client,,27670,Le Bosc-Roger-en-Roumois,FRA,0.91303,49.29799,-1
IMPRIMERIE KAPP LAHURE,,Client / Chantier,Client,RUE DE L INDUSTRIE,27000,EVREUX,FRA,1.1806,49.0175,220
IMPRIMERIE MALHERBE,,Client / Chantier,Client,RUE DE BELLEVUE,14650,CARPIQUET,FRA,-0.4325,49.1912,220
IMPRIMERIE MONTLIGEON,,Client / Chantier,Client,LA CHAPELLE MONTLIGEON,61400,MORTAGNE AU PERCHE,FRA,0.0,0.0,220
IMPRIMERIE PIEPLU,,Client / Chantier,Client,6 RUE DE FONTENELLE,76000,ROUEN,FRA,1.0842,49.441,220
Imprimerie Saint Sauveur,,Client / Chantier,Client,D8,14930,ETERVILLEFRANCE,FRA,-0.4234,49.1401,220
IMPRIMERIE SEURIN,,Client / Chantier,Client,ZAC DU GROS CHENE,76235,ISNEAUVILLE,FRA,0.0,0.0,220
IMPRIMERIE XAVIER GARLAN,,Client / Chantier,Client,ZI DE LA CAPELLE,50000,SAINT LO,FRA,0.0,0.0,220
IMV TECHNOLOGIES,,Client / Chantier,Client,10 RUE GEORGES CLEMENCEAU,61300,L AIGLE,FRA,0.6198,48.7606,220
INEO NORMANDIE,,Client / Chantier,Client,ROUTE DU CANAL BOSSIERE,76700,GONFREVILLE L ORCHER,FRA,0.1975,49.4967,220
INITIAL BTB,,Client / Chantier,Client,RUE DE LA VIGNE,14650,CARPIQUET,FRA,-0.4503,49.1944,220
INITIAL BTB,,Client / Chantier,Client,RUE DES BARBANCONS,27930,GRAVIGNY,FRA,1.1631,49.0531,220
INNOFLEX,,Client / Chantier,Client,ROUTE DE SAINT POIS,14500,SAINT GERMAIN DE TALLEVENDE,FRA,0.0,0.0,220
INNOVEX,,Client / Chantier,Client,Z I,76370,MARTIN EGLISE,FRA,0.0,0.0,220
INOPLAST,,Client / Chantier,Client,RUE DE L EUROPE,14550,BLAINVILLE SUR ORNE,FRA,-0.2964,49.2188,220
INOXYDA PT QUEVILLY,,Client / Chantier,Client,,76140,Le Petit-Quevilly,FRA,1.04787,49.4313,-1
INSA,,Client / Chantier,Client,PLACE EMILE BLONDEL,76130,MONT SAINT AIGNAN,FRA,1.071,49.4582,220
IN-SNEC,,Client / Chantier,Client,RUE DE CAEN,14740,BRETTEVILLE L ORGUEILLEUSE,FRA,-0.5106,49.21,220
INSPECTAS,,Client / Chantier,Client,RUE FRANCOIS ARAGO,76580,LE TRAIT,FRA,0.8033,49.4861,220
INSTITUTION MEDICO SOCIAL,,Client / Chantier,Client,50 AVENUE LOUIS DEBRAY,76210,BOLBEC,FRA,0.472,49.5796,220
INTELEC,,Client / Chantier,Client,ESPACE DES PRIS,27950,SAINT MARCEL,FRA,0.0,0.0,220
INTERFAS LOUVIERS,,Client / Chantier,Client,,27400,Louviers,FRA,1.17259,49.23078,-1
INTERFUTS,,Client / Chantier,Client,674 R  JEANNE LA LORRAINE,76850,BOSC LE HARD,FRA,0.0,0.0,220
